doc_id,text,review_text,restaurant_name,review_date,username,review_rating,bien,japonesa,sushi,mejor,comida,calidad,excelente,precio,rico,servicio,recomendable,genial,restaurante,espectacular,gran,mal,caro,experiencia,cena,trato,sitio,calidadprecio,relación,agradable,sorpresa
329792869,Sin nada de ...,"... originalidad en la carta del menú, y con un servicio desastroso.Mi pareja y yo estábamos de viaje en Sevilla y nos paramos a comer a este restaurante. Cuando entramos por la puerta para sentarnos nos dio malas sensaciones, que poco después se confirmarían. Para empezar , la decoración era mediocre de un color negro que hacían el ambiente poco acogedor. El servicio fue amable durante toda la comida, pero poco atenta, ya que tuvimos que esperar más de 20 minutos entre plato y plato, y para que nos trajeran la cuenta aún más. La propuesta de menú era poco original,y además, el precio, no era barato. En fin, que nos fuimos poco contentos. No recomendaría a nadie este lugar.",Akira Sushi,2015-11-29,JuanmiN N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304790079,Comimos mucho y bien,"Anoche, aprovechando una oferta que teníamos de groupon, fuimos a este restaurante a comer y nos pusimos ""púos"". El menú de la oferta incluye un entrante, 30 piezas de sushi, verduras en tempura y 2 bebidas cada uno. La verdad que comimos muy bien, todo muy bueno y abundante y el servicio rápido y muy amable y todo a buen precio, Así que... Estupendo!",Akira Sushi,2015-08-29,caro_rr_1981,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294963261,Pésimo es decir algo bueno,"Acudí con un groupon que compré para mi pareja y para mi, de precio medio, por cierto, no se puede decir que era lo que se dice barato.Cuando llegamos, la decoración no nos gustó mucho. El sitio es lúgubre, no muy bien ambientado, y además el bar es mitad japonés mitad español. Los baños daban auténtico asco de lo sucio que estaban, peor incluso que la comida.A pesar de comprar el groupon y obligatoriamente tener hecha una reserva, por lo que sabían de más que a esa hora íbamos y qué íbamos a comer, tuvimos que esperar media hora para el primer plato, que fue una ""sopa"", por llamarle algo. Nos dejó muy descolocados que estuviera servida en la típica sartén en la que se hacen las gambas al ajillo y que estuviera fría y fueran dos cucharadas escasas de caldo. Unos veinte minutos después nos trajeron el tempura, igual de malo, dos trozos de calabacín y dos trozos de pimientos burdamente cortados, de tamaño enorme, imposible de comer de un bocado, como se sirven las cosas en la cocina japonesa. Tras otros 20 minutos de espera, llegó el sushi. No hemos visto un sushi más horrible en toda nuestra vida. Eran 40 piezas, pero de tamaño microscópico. Los maki estaban enrollados de una manera horrible y los nigiri se deshacían, sin contar que el salmón era ahumado, no tenía nada de fresco, y la pizarra donde estaban servidos estaba completamente pringada. Para el dinero que habíamos pagado comimos sushi mal hecho, minúsculo y con casi nada de pescado, que además no era ni fresco. La verdad, nos quedamos con bastante hambre.Por lo menos las camareras eran simpáticas y agradables, pero no volvería a repetir en un sitio así ni loca, y os recomiendo encarecidamente que no perdáis el tiempo en este restaurante.",Akira Sushi,2015-08-02,María E,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292626864,Me esperaba más,"Si vas a este sitio por el sushi, te recomieneo que mires otros. Nosotros fuimos con un groupon y el sushi era de un nivel bastante bajo. Es cierto que la tempura estaba rica, pero no creo que repitamos",Akira Sushi,2015-07-26,Ele_Sevilla,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289187692,Sushi regulero,Fuimos al adquirir una oferta en Groupon y en general la comida estaba insulsa y no tenía aliciente.,Akira Sushi,2015-07-15,Mandamelvideo,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280578402,NOS QUEDAMOS CON HAMBRE,"Cogimos una oferta de Internet con 30 piezas de sushi y 2 entrantes para dos, además de tardar una barbaridad en servirnos la comida, las piezas eran muy pequeñas! no lo recomiendo,hay 20 sitios mejores de sushi en Sevilla",Akira Sushi,2015-06-16,Virginia M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278047510,SUSHIII,Que rico q es el sushi y el de akira vale la pena. El lugar para ir a comer es lindo y la comida fusion interesante.,Akira Sushi,2015-06-05,Nicote13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276181567,"Bastante bueno, sin revelaciones","Fuimos con un groupon para 4 personas. En cambio de sopa miso, que por lo visto no triunfaba, nos dieron una especie de ravioli/saquitos chinos que estaban buenas. 60 piezas de sushi (parece muchisima comida, pero en realidad no lo es) estaban bastante bien, el arroz en su punto, bastante variedad PERO... el nigiri con atún deja mucho que desear. El atun parecia de hace una semana de curación, estaba tan seco que nos hemos reido que es una mojama. La tempura esta bastante buena, pero para que parezca mas la sirven en una buena cantidad de lechuga, que esta sin aliño ninguno. Deberia ir servido sin dicha lechuga, o con un buen aliño. La camarera muy amable.Pena que no dejan sentarse fuera.",Akira Sushi,2015-05-31,320dariak,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274034414,MUY SIMPLE,"Es un restaurante muy simple, el trato agradable pero poco atentos. No lo recomendaria a mis amigos la verdad",Akira Sushi,2015-05-23,Manuel O,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268189898,Relación calidad /precios aceptable,"He de decir que cogí una oferta por Internet y así nos salió más barato pero mirando los precios al margen están muy bien. La tempura de verduras me gustó bastante, tanto que me pareció poco jajaja, sushi bueno y variado, ni mucho arroz ni poco, cierto es que la sopa miso no me gustó nada. El local estaba abarrotado y se veía agobiadas a las camareras pero muy amables. ",Akira Sushi,2015-04-26,Ana M,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
