review_id,restaurant_name,review_date,username,review_title,review_rating,review_text
433768096,YAMAZAKI,2016-11-01,nachorrera,Muy muy buen japonés,5,"Pensamos que por la ubicación estaría muy orientado al turismo, y que sería caro y de calidad normal, pero nada que ver, tienen muy buena calidad y un precio como cualquier otro Japonés. El servicio y los tiempos de espera muy correctos"
431540459,YAMAZAKI,2016-10-25,777javierd,Cena con aniga,5,Hace unas semanas pase con una amiga una velada muy buena en este restaurante. Estuvimos en la terraza exterior y tomamos sushi y atún a la plancha. El trato fue bueno y rápido y los platos estaban ricos y frescos. El precio ajustado al producto. Un lugar para repetir.
427849521,YAMAZAKI,2016-10-14,202anibalh,"Imperdible, realmente espectacular!",5,"Es por lejos el mejor okonomiyaki que he comido fuera de Japón, viví allí 8 años! Toda la comida es de primera calidad, el lugar es muy bonito y tradicional y los precios muy económicos! Volvería a comer aquí todos los días, recomendadisimo!!"
426482402,YAMAZAKI,2016-10-09,crigon2001,Sencillamente espectacular!!,5,Lo hemos descubierto hoy y no vamos a dudar en repetir! La calidad del sushi inigualable! Altamente recomendable.
425932661,YAMAZAKI,2016-10-07,Esther P,Muy recomendable ,4,"Lo descubrimos hace tiempo, y cada vez que queremos comer buen sushi nos acercamos a este restaurante. Buena atención sobretodo en el interior. "
425700311,YAMAZAKI,2016-10-06,rauldqt,Gran género y presentación,5,"Local sencillo pero con encanto, la carta es bastante amplia, el tataki es espectacular, los makis perfecto, pero un ingrediente tan básico como el arroz fue de categoría, en su punto ideal..... los niguiris están de muerte, la presentación de los platos están muy bien. A recomendar el menú del día a 9,90€ con un entrante, tres platos y su postre. El precio por persona en torno a 20/25€"
424646527,YAMAZAKI,2016-10-03,Masensio80,Sushi exquisito,5,"Fuímos a este restaurante guiándonos por los buenos comentarios que tiene y quedamos muy satisfechos. El local es pequeño, pero muy agradable y fuera tiene algunas mesas también. Al principio tardaron un poco en tomarnos nota, pero luego fue todo muy rápido. Todos los platos que pedimos estaban muy buenos, pero en especial el sushi, que creo que es de los mejores que he comido en Sevilla. También tienen un menú de mediodía entre semana que creo que merecerá la pena probar."
422776836,YAMAZAKI,2016-09-27,Jon Z,Excelente elección,5,"Sitio muy recomendable,comida japonesa de muy buena calidad,el servicio muy amable y la comida muy buena,repetiremos!!"
422637721,YAMAZAKI,2016-09-26,Jungle1711,Sushi perfecto ,5,Uno de lo mejor sushi de SEVILLA buena calidad precio servicios muy rápidos voy a repetir seguro lo mejor la presa ibérica 
407897745,YAMAZAKI,2016-08-20,namaotori,El que más se acerca a Japón,5,"He probado sushi en numerosos bares/restaurantes de Sevilla y tengo una idea más o menos hecha de en cuales te toman el pelo (bolas de arroz gigantescas y láminas de pescado plasticoso con grosores que casi se ve a través de ellas) y en cuales merece la pena sentarse a comer. Yamazaki es un restaurante donde sirven un sushi bastante decente, me dejó muy sorprendido.Los nigiris están bien servidos (láminas generosas), el pescado que probé (atún, salmón, pez mantequilla, dorada, lubina, gambón) estaba fresco, me sorprendió comprobar que el pescado realmente olía y sabía a pescado y no a plástico de 2 días. El arroz no excesivamente avinagrado/azucarado y al punto, buena cantidad (aparte) de wasabi y el jengibre encurtido no era rosado (con colorante) sino que era de buen calidad. La salsa de soja la sirven en pequeños cuencos individuales y es de muy poca intensidad, no es oscura.Los makis también están muy bien servidos, con gran cantidad de pescado. Destaco la presentación, muy cuidada.El resto de la carta es muy completa, con platos fuera de carta que sorprende verlos (como el nigiri de Uni). Gyozas muy ricas servidas con salsa de soja y vinagre. El okonomiyaki muy rico, aunque a veces se aprecian detalles como que está más occidentalizado de la cuenta. Por ejemplo, en vez de espolvorear polvos de alga nori lo hacen con perejil seco. Igualmente sabía rico.El servicio es muy agradable, educados, amables y simpáticos. En fin, ¡un gustazo comer aquí! Espero que sigan mejorando su cocina. Después de comprobar que el pescado lo sirven fresco y no arriesgo mi vida en tragarme un anisakis me animaré más veces. Repetiré."
